,GDP_Growth,Capital_Formation_lag1,Inflation_lag1,Government_Debt_lag1,Trade_Balance_lag1,Exchange_Rate_lag1,Reserves_lag1
const,20.42433159469783,5.413480910944709,25.102161011638664,-0.36263000089750097,-22.665523044716338,-1.597749755580131,3.307245021682895
L1.GDP_Growth,-0.7913028207971287,0.005399863009351705,0.08713599790326154,-0.016681016998567194,-0.1882748529636853,0.0043357147728636525,-0.025593151734966013
L1.Capital_Formation_lag1,22.967559280286455,-0.9654249155363486,-5.168020008875827,0.18005932040893877,-6.957934277914663,0.45819858312721046,-1.2260495307833659
L1.Inflation_lag1,-0.8391911738675016,0.0562657175269063,-0.2636938915508106,-0.05710375512296485,0.3104002058400942,-0.10035196254764442,0.16453672500040337
L1.Government_Debt_lag1,49.5075173132736,-1.5803224477523006,0.7431699360598019,1.312165313498831,1.4596709678555282,0.1794330902507631,-1.1165863071263804
L1.Trade_Balance_lag1,-0.4564912694673464,0.02484806496964309,0.10483161954717973,-0.019304866974235328,0.6160536359428738,-0.02831388970770535,0.07359245449894003
L1.Exchange_Rate_lag1,21.720354019763263,-0.12142386288429438,3.5957312990339396,0.24714780606647477,-4.262634190156543,0.8129639388123933,-0.8250367016295931
L1.Reserves_lag1,3.9032127104344188,0.3025195731411304,-0.4758468923276358,-0.026916290766001244,-1.5144392615484727,-0.02810860543642489,0.46029825200232555
L2.GDP_Growth,0.38417761683872115,-0.015926829324667383,0.07897913625420619,0.001228993313426685,-0.24645181247701306,0.00572428342803713,-0.03626511507490986
L2.Capital_Formation_lag1,-2.547978979108226,-0.12187755075553988,-8.882095518527866,0.23490662466547985,26.02868189963082,0.22309337256964443,0.9629276214744378
L2.Inflation_lag1,1.3314022028649426,0.03935826751875494,0.7366672496364037,-0.0548358607791421,0.34662081474265205,-0.03705331108641587,0.09369062955163207
L2.Government_Debt_lag1,-44.43810024923742,1.0444383704675717,-2.6819495321756217,-0.23968067716045144,19.10316090125454,0.6833721873602939,1.154938899897731
L2.Trade_Balance_lag1,1.2177785465141038,-0.01774552749465503,0.13045203248236606,0.01167772861783523,-0.11396562384598544,0.016195901944614198,-0.06415375767109056
L2.Exchange_Rate_lag1,-40.126162400296124,0.35517362928541407,-2.7818138187357633,-0.24745760987679544,-12.543845405326485,-0.8111849990668601,0.7270383165665633
L2.Reserves_lag1,-10.18583297827459,0.013135744623385667,3.3093803667919346,-0.09124478990346144,-7.220975349070743,-0.1624637109289657,0.3140795607019603
